NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011757,R125,4B,A-073013-009,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,280,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011757,SCHR,black and yellow rockfish,,,,36.54583333,-121.93055,
R011758,R125,4C,A-073013-010,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,250,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011758,SCHR,black and yellow rockfish,,,,36.53611667,-121.9352833,
R011759,R125,4D,A-073013-011,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,260,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011759,SCHR,black and yellow rockfish,,,,36.53611667,-121.9352833,
R011760,R125,4E,A-073013-012,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,310,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011760,SMEL,Black Rockfish,,,,36.53611667,-121.9352833,
R011761,R125,4F,A-073013-013,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,220,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011761,SCHR,black and yellow rockfish,,,,36.53611667,-121.9352833,
R011762,R125,4G,A-073013-014,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,240,,,,ADULT,,,07/30/2013,,DSW,08/19/2013,,,R011762,SCHR,black and yellow rockfish,,,,36.53611667,-121.9352833,
R011763,R125,4H,A-073113-001,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,275,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011763,SCHR,black and yellow rockfish,,,,36.5613,-121.9591333,
R011764,R125,5A,A-073113-002,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,230,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011764,SCHR,black and yellow rockfish,,,,36.5613,-121.9591333,
R011765,R125,5B,A-073113-003,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,300,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011765,SATR,Kelp Rockfish,,,,36.5613,-121.9591333,
R011766,R125,5C,A-073113-004,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,250,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011766,SATR,Kelp Rockfish,,,,36.5613,-121.9591333,
