NMFS_DNA_ID	BOX_ID	BOX_POSITION	SAMPLE_ID	BATCH_ID	PROJECT_NAME	GENUS	SPECIES	LENGTH	WEIGHT	SEX	AGE	REPORTED_LIFE_STAGE	PHENOTYPE	HATCHERY_MARK	TAG_NUMBER	COLLECTION_DATE	ESTIMATED_DATE	PICKER	PICK_DATE	LEFTOVER_SAMPLE	SAMPLE_COMMENTS	NMFS_DNA_ID	SPECIES_CODE	COMMON_NAME	LANDFALL_PORT	CRUISE	HAUL	SITE	STATE_M	COUNTY_M	LATITUDE_M	LONGITUDE_M	LOCATION_COMMENTS_M
R004136	R044	1H	F K22 larva 200	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004136	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004137	R044	2A	F K22 larva 201	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004137	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004138	R044	2B	F K22 larva 202	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004138	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004139	R044	2C	F K22 larva 203	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004139	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004140	R044	2D	F K22 larva 204	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004140	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004141	R044	2E	F K22 larva 205	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004141	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004142	R044	2F	F K22 larva 206	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004142	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004143	R044	2G	F K22 larva 207	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004143	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004144	R044	2H	F K22 larva 208	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004144	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004145	R044	3A	F K22 larva 209	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004145	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004146	R044	3B	F K22 larva 210	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004146	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004147	R044	3C	F K22 larva 211	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004147	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004148	R044	3D	F K22 larva 212	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004148	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004149	R044	3E	F K22 larva 213	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004149	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004150	R044	3F	F K22 larva 214	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004150	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004151	R044	3G	F K22 larva 215	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004151	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004152	R044	3H	F K22 larva 216	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004152	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004153	R044	4A	F K22 larva 217	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004153	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004154	R044	4B	F K22 larva 218	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004154	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004155	R044	4C	F K22 larva 219	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004155	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004156	R044	4D	F K22 larva 220	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004156	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004157	R044	4E	F K22 larva 221	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004157	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004158	R044	4F	F K22 larva 222	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004158	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004159	R044	4G	F K22 larva 223	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004159	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004160	R044	4H	F K22 larva 224	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004160	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004161	R044	5A	F K22 larva 225	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004161	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004162	R044	5B	F K22 larva 226	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004162	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004163	R044	5C	F K22 larva 227	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004163	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004164	R044	5D	F K22 larva 228	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004164	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004165	R044	5E	F K22 larva 229	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004165	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004166	R044	5F	F K22 larva 230	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004166	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004167	R044	5G	F K22 larva 231	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004167	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004168	R044	5H	F K22 larva 232	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004168	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004169	R044	6A	F K22 larva 233	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004169	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004170	R044	6B	F K22 larva 234	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004170	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004171	R044	6C	F K22 larva 235	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004171	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004172	R044	6D	F K22 larva 236	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004172	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004173	R044	6E	F K22 larva 237	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004173	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004174	R044	6F	F K22 larva 238	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004174	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004175	R044	6G	F K22 larva 239	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004175	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004176	R044	6H	F K22 larva 240	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004176	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004177	R044	7A	F K22 larva 241	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004177	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004178	R044	7B	F K22 larva 242	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004178	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004179	R044	7C	F K22 larva 243	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004179	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004180	R044	7D	F K22 larva 244	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004180	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004181	R044	7E	F K22 larva 245	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004181	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004182	R044	7F	F K22 larva 246	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004182	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004183	R044	7G	F K22 larva 247	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004183	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004184	R044	7H	F K22 larva 248	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004184	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004185	R044	8A	F K22 larva 249	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004185	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004186	R044	8B	F K22 larva 250	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004186	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004187	R044	8C	F K22 larva 251	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004187	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004188	R044	8D	F K22 larva 252	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004188	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004189	R044	8E	F K22 larva 253	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004189	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004190	R044	8F	F K22 larva 254	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004190	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004191	R044	8G	F K22 larva 255	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004191	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004192	R044	8H	F K22 larva 256	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004192	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004193	R044	9A	F K22 larva 257	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004193	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004194	R044	9B	F K22 larva 258	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004194	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004195	R044	9C	F K22 larva 259	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004195	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004196	R044	9D	F K22 larva 260	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004196	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004197	R044	9E	F K22 larva 261	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004197	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004198	R044	9F	F K22 larva 262	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004198	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004199	R044	9G	F K22 larva 263	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004199	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004200	R044	9H	F K22 larva 264	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004200	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004201	R044	10A	F K22 larva 265	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004201	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004202	R044	10B	F K22 larva 266	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004202	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004203	R044	10C	F K22 larva 267	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004203	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004204	R044	10D	F K22 larva 268	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004204	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004205	R044	10E	F K22 larva 269	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004205	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004206	R044	10F	F K22 larva 270	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004206	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004207	R044	10G	F K22 larva 271	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004207	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004208	R044	10H	F K22 larva 272	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004208	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004209	R044	11A	F K22 larva 273	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004209	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004210	R044	11B	F K22 larva 274	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004210	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004211	R044	11C	F K22 larva 275	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004211	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004212	R044	11D	F K22 larva 276	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004212	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004213	R044	11E	F K22 larva 277	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004213	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004214	R044	11F	F K22 larva 278	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004214	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004215	R044	11G	F K22 larva 279	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004215	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004216	R044	11H	F K22 larva 280	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004216	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004217	R044	12A	F K22 larva 281	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004217	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004218	R044	12B	F K22 larva 282	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004218	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004219	R044	12C	F K22 larva 283	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004219	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004220	R044	12D	F K22 larva 284	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004220	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004221	R044	12E	F K22 larva 285	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004221	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004222	R044	12F	F K22 larva 286	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004222	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004223	R044	12G	F K22 larva 287	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/2/04		Sogard Team 			All larva on this plate were from Female K22; no tissue remains (Sogard may have additional larvae from this female)	R004223	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
