NMFS_DNA_ID species score
R020628 carnatus 52.429
R020629 atrovirens 100.000
R020630 atrovirens 100.000
R020632 atrovirens 100.000
R020633 atrovirens 100.000
R020634 atrovirens 100.000
R020635 atrovirens 100.000
R020636 atrovirens 100.000
R020637 atrovirens 100.000
R020638 atrovirens 100.000
R020639 atrovirens 100.000
R020640 atrovirens 100.000
R020641 atrovirens 100.000
R020642 atrovirens 100.000
R020643 atrovirens 100.000
R020644 atrovirens 100.000
R020645 atrovirens 100.000
R020646 atrovirens 100.000
R020647 atrovirens 100.000
R020648 atrovirens 100.000
R020649 atrovirens 100.000
R020650 atrovirens 100.000
R020651 atrovirens 100.000
R020652 atrovirens 100.000
R020653 atrovirens 100.000
R020654 atrovirens 100.000
R020655 atrovirens 100.000
R020656 atrovirens 100.000
R020657 atrovirens 100.000
R020658 atrovirens 100.000
R020659 atrovirens 100.000
R020372 carnatus 99.962
R020373 atrovirens 100.000
R020374 chrysomelas 99.830
R020375 atrovirens 100.000
R020376 chrysomelas 99.891
R020377 chrysomelas 64.765
R020378 atrovirens 100.000
R020379 atrovirens 100.000
R020380 atrovirens 100.000
R020381 atrovirens 100.000
R020382 atrovirens 100.000
R020383 carnatus 96.707
R020384 atrovirens 100.000
R020385 atrovirens 100.000
R020386 carnatus 96.198
R020387 atrovirens 100.000
R020388 atrovirens 100.000
R020389 atrovirens 100.000
R020390 atrovirens 100.000
R020391 atrovirens 100.000
R020392 chrysomelas 99.998
R020393 atrovirens 100.000
R020394 carnatus 60.214
R020395 carnatus 94.798
R020396 atrovirens 100.000
R020398 atrovirens 100.000
R020399 chrysomelas 96.051
R020400 carnatus 99.713
R020401 atrovirens 100.000
R020402 atrovirens 100.000
R020403 chrysomelas 92.957
R020404 atrovirens 100.000
R020405 atrovirens 100.000
R020406 atrovirens 100.000
R020407 atrovirens 100.000
R020408 carnatus 99.912
R020409 atrovirens 100.000
R020410 atrovirens 100.000
R020411 atrovirens 100.000
R020412 atrovirens 100.000
R020413 chrysomelas 95.032
R020414 chrysomelas 83.589
R020415 atrovirens 100.000
R020416 atrovirens 100.000
R020417 atrovirens 100.000
R020418 atrovirens 100.000
R020419 atrovirens 100.000
R020420 atrovirens 100.000
R020421 atrovirens 100.000
R020422 atrovirens 100.000
R020423 atrovirens 100.000
R020424 atrovirens 100.000
R020425 atrovirens 100.000
R020426 atrovirens 100.000
R020427 atrovirens 100.000
R020428 atrovirens 100.000
R020429 atrovirens 100.000
R020430 atrovirens 100.000
R020431 atrovirens 100.000
R020432 atrovirens 100.000
R020433 atrovirens 100.000
R020434 atrovirens 100.000
R020435 atrovirens 100.000
R020436 atrovirens 100.000
R020437 atrovirens 100.000
R020438 atrovirens 100.000
R020440 atrovirens 100.000
R020441 atrovirens 100.000
R020442 atrovirens 100.000
R020443 atrovirens 100.000
R020444 atrovirens 100.000
R020445 atrovirens 100.000
R020446 atrovirens 100.000
R020447 atrovirens 100.000
R020448 atrovirens 100.000
R020449 atrovirens 100.000
R020450 atrovirens 100.000
R020451 atrovirens 100.000
R020452 atrovirens 100.000
R020453 atrovirens 100.000
R020454 atrovirens 100.000
R020455 atrovirens 100.000
R020456 atrovirens 100.000
R020457 atrovirens 100.000
R020458 atrovirens 100.000
R020459 atrovirens 100.000
R020460 atrovirens 100.000
R020461 atrovirens 100.000
R020462 atrovirens 100.000
R020463 atrovirens 100.000
R020464 atrovirens 100.000
R020465 atrovirens 100.000
R020466 atrovirens 100.000
R020467 atrovirens 100.000
R020660 atrovirens 100.000
R020661 atrovirens 100.000
R020662 atrovirens 100.000
R020663 atrovirens 100.000
R020664 atrovirens 100.000
R020665 atrovirens 100.000
R020666 atrovirens 100.000
R020667 atrovirens 100.000
R020668 atrovirens 100.000
R020669 atrovirens 100.000
R020670 atrovirens 100.000
R020671 carnatus 88.197
R020672 chrysomelas 97.626
R020673 atrovirens 100.000
R020674 atrovirens 100.000
R020675 atrovirens 100.000
R020676 atrovirens 100.000
R020677 atrovirens 100.000
R020678 carnatus 100.000
R020679 chrysomelas 65.064
R020680 carnatus 75.774
R020684 atrovirens 100.000
R020685 atrovirens 100.000
R020686 atrovirens 100.000
R020687 atrovirens 100.000
R020688 atrovirens 100.000
R020689 atrovirens 100.000
R020690 atrovirens 100.000
R020691 atrovirens 100.000
R020692 atrovirens 100.000
R020693 atrovirens 100.000
R020694 atrovirens 100.000
R020695 atrovirens 100.000
R020696 atrovirens 100.000
R020697 atrovirens 100.000
R020698 atrovirens 100.000
R020699 atrovirens 100.000
R020700 atrovirens 100.000
R020701 atrovirens 100.000
R020702 atrovirens 100.000
R020703 atrovirens 100.000
R020704 atrovirens 100.000
R020705 atrovirens 100.000
R020706 atrovirens 100.000
R020707 atrovirens 100.000
R020708 atrovirens 100.000
R020709 atrovirens 100.000
R020710 atrovirens 100.000
R020711 atrovirens 100.000
R020712 atrovirens 100.000
R020713 atrovirens 100.000
R020714 atrovirens 100.000
R020715 atrovirens 100.000
R020716 atrovirens 100.000
R020717 atrovirens 100.000
R020718 atrovirens 100.000
R020719 atrovirens 100.000
R020720 atrovirens 100.000
R020721 atrovirens 100.000
R020722 atrovirens 100.000
R020723 atrovirens 100.000
R020724 atrovirens 100.000
R020725 atrovirens 100.000
R020726 atrovirens 100.000
R020728 atrovirens 100.000
R020729 atrovirens 100.000
R020730 atrovirens 100.000
R020731 atrovirens 100.000
R020732 atrovirens 100.000
R020733 atrovirens 100.000
R020734 atrovirens 100.000
R020735 atrovirens 100.000
R020736 atrovirens 100.000
R020737 atrovirens 100.000
R020738 atrovirens 100.000
R020739 atrovirens 100.000
R020740 atrovirens 100.000
R020741 atrovirens 100.000
R020742 atrovirens 100.000
R020743 atrovirens 100.000
R020744 atrovirens 100.000
R020745 atrovirens 100.000
R020746 atrovirens 100.000
R020747 atrovirens 100.000
R020748 atrovirens 100.000
R020749 atrovirens 100.000
R020750 atrovirens 100.000
R020751 atrovirens 100.000
R020752 chrysomelas 99.519
R020753 atrovirens 100.000
R020754 atrovirens 100.000
R020755 atrovirens 100.000
R020756 atrovirens 100.000
R020757 atrovirens 100.000
R020758 atrovirens 100.000
R020759 atrovirens 100.000
R020760 atrovirens 100.000
R020761 atrovirens 100.000
R020762 atrovirens 100.000
R020763 carnatus 95.716
R020764 atrovirens 100.000
R020765 atrovirens 100.000
R020766 atrovirens 100.000
R020767 atrovirens 100.000
R020768 atrovirens 100.000
R020769 atrovirens 100.000
R020770 carnatus 99.777
R020771 atrovirens 100.000
R020772 atrovirens 100.000
R020773 atrovirens 100.000
R020774 atrovirens 100.000
R020775 atrovirens 100.000
R020776 atrovirens 100.000
R020777 atrovirens 100.000
R020778 atrovirens 100.000
R020779 atrovirens 100.000
R020780 atrovirens 100.000
R020781 atrovirens 100.000
R020782 atrovirens 100.000
R020783 atrovirens 100.000
R020784 atrovirens 100.000
R020785 atrovirens 100.000
R020786 atrovirens 100.000
R020787 atrovirens 100.000
R020788 atrovirens 100.000
R020789 atrovirens 100.000
R020790 atrovirens 100.000
R020791 atrovirens 100.000
R020792 atrovirens 100.000
R020793 atrovirens 100.000
R020794 atrovirens 100.000
R020795 atrovirens 100.000
R020796 atrovirens 100.000
R020797 atrovirens 100.000
R020798 atrovirens 100.000
R020799 atrovirens 100.000
R020800 atrovirens 100.000
R020801 atrovirens 100.000
R020802 atrovirens 100.000
R020803 atrovirens 100.000
R020804 atrovirens 100.000
R020805 atrovirens 100.000
R020806 atrovirens 100.000
R020807 atrovirens 100.000
R020808 carnatus 96.615
R020809 atrovirens 100.000
R020810 atrovirens 100.000
R020811 atrovirens 100.000
R020812 atrovirens 100.000
R020813 atrovirens 100.000
R020814 atrovirens 100.000
R020815 atrovirens 100.000
R020816 atrovirens 100.000
R020817 atrovirens 100.000
R020818 atrovirens 100.000
R020819 atrovirens 100.000
R020820 atrovirens 100.000
R020821 atrovirens 100.000
R020822 atrovirens 100.000
R020824 atrovirens 100.000
R020825 atrovirens 100.000
R020826 atrovirens 100.000
R020827 atrovirens 100.000
R020828 atrovirens 100.000
R020829 atrovirens 100.000
R020830 atrovirens 100.000
R020831 atrovirens 100.000
R020832 atrovirens 100.000
R020833 atrovirens 100.000
R020834 atrovirens 100.000
R020835 atrovirens 100.000
R020836 atrovirens 100.000
R020837 atrovirens 100.000
R020838 atrovirens 100.000
R020839 atrovirens 100.000
R020840 atrovirens 100.000
R020841 atrovirens 100.000
R020842 atrovirens 100.000
R020843 atrovirens 100.000
R020844 atrovirens 100.000
R020845 atrovirens 100.000
R020846 atrovirens 100.000
R020847 atrovirens 100.000
R020848 atrovirens 100.000
R020849 atrovirens 100.000
R020850 atrovirens 100.000
R020851 atrovirens 100.000
R020852 atrovirens 100.000
R020853 atrovirens 100.000
R020854 atrovirens 100.000
R020855 atrovirens 100.000
R020856 atrovirens 100.000
R020857 atrovirens 100.000
R020858 atrovirens 100.000
R020859 atrovirens 100.000
R020860 atrovirens 100.000
R020861 atrovirens 100.000
R020862 atrovirens 100.000
R020863 atrovirens 100.000
R020864 atrovirens 100.000
R020865 atrovirens 100.000
R020866 atrovirens 100.000
R020867 atrovirens 100.000
R020868 atrovirens 100.000
R020869 atrovirens 100.000
R020870 atrovirens 100.000
R020871 atrovirens 100.000
R020872 atrovirens 100.000
R020873 atrovirens 100.000
R020874 atrovirens 100.000
R020875 atrovirens 100.000
R020876 atrovirens 100.000
R020877 atrovirens 100.000
R020878 atrovirens 100.000
R020879 atrovirens 100.000
R020880 atrovirens 100.000
R020881 atrovirens 100.000
R020882 atrovirens 100.000
R020883 atrovirens 100.000
R020884 atrovirens 100.000
R020885 atrovirens 100.000
R020886 atrovirens 100.000
R020887 atrovirens 100.000
R020888 atrovirens 100.000
R020889 atrovirens 100.000
R020890 atrovirens 100.000
R020891 atrovirens 100.000
R020892 atrovirens 100.000
R020893 atrovirens 100.000
R020894 atrovirens 100.000
R020895 atrovirens 100.000
R020896 atrovirens 100.000
R020897 atrovirens 100.000
R020898 atrovirens 100.000
R020899 atrovirens 100.000
R020900 atrovirens 100.000
R020901 atrovirens 100.000
R020902 atrovirens 100.000
R020903 atrovirens 100.000
R020904 atrovirens 100.000
R020905 atrovirens 100.000
R020906 atrovirens 100.000
R020907 atrovirens 100.000
R020908 atrovirens 100.000
R020909 atrovirens 100.000
R020910 atrovirens 100.000
R020911 atrovirens 100.000
R020912 atrovirens 100.000
R020913 atrovirens 100.000
R020914 atrovirens 100.000
R020915 atrovirens 100.000
R020916 atrovirens 100.000
R020917 atrovirens 100.000
R020918 atrovirens 100.000
R020919 atrovirens 100.000
R020920 atrovirens 100.000
R020921 atrovirens 100.000
R020922 atrovirens 100.000
R020923 atrovirens 100.000
R020924 atrovirens 100.000
R020925 atrovirens 100.000
R020926 atrovirens 100.000
R020927 atrovirens 100.000
R020928 atrovirens 100.000
R020929 atrovirens 100.000
R020930 atrovirens 100.000
R020931 atrovirens 100.000
R020932 atrovirens 100.000
R020933 atrovirens 100.000
R020934 atrovirens 100.000
R020935 atrovirens 100.000
R020936 atrovirens 100.000
R020937 atrovirens 100.000
R020938 atrovirens 100.000
R020939 atrovirens 100.000
R020940 atrovirens 100.000
R020941 atrovirens 100.000
R020942 atrovirens 100.000
R020943 atrovirens 100.000
R020944 atrovirens 100.000
R020945 atrovirens 100.000
R020946 atrovirens 100.000
R020947 atrovirens 100.000
R020948 atrovirens 100.000
R020949 atrovirens 100.000
R020950 atrovirens 100.000
R020951 atrovirens 100.000
R020952 atrovirens 100.000
R020953 atrovirens 100.000
R020954 atrovirens 100.000
R020955 atrovirens 100.000
R020956 atrovirens 100.000
R020957 atrovirens 100.000
R020958 atrovirens 100.000
R020959 atrovirens 100.000
R020960 atrovirens 100.000
R020961 atrovirens 100.000
R020962 atrovirens 100.000
R020963 atrovirens 100.000
R020964 atrovirens 100.000
R020965 atrovirens 100.000
R020966 atrovirens 100.000
R020967 atrovirens 100.000
R020968 atrovirens 100.000
R020969 atrovirens 100.000
R020970 atrovirens 100.000
R020971 atrovirens 100.000
R020972 atrovirens 100.000
R020973 atrovirens 100.000
R020974 atrovirens 100.000
R020975 atrovirens 100.000
R020976 atrovirens 100.000
R020977 atrovirens 100.000
R020978 atrovirens 100.000
R020979 atrovirens 100.000
R020980 atrovirens 100.000
R020981 atrovirens 100.000
R020982 atrovirens 100.000
R020983 atrovirens 100.000
R020984 atrovirens 100.000
R020985 atrovirens 100.000
R020986 atrovirens 100.000
R020987 atrovirens 100.000
R020988 atrovirens 100.000
R020989 atrovirens 100.000
R020990 atrovirens 100.000
R020991 atrovirens 100.000
R020992 atrovirens 100.000
R020993 atrovirens 100.000
R020994 atrovirens 100.000
R020995 atrovirens 100.000
R020996 atrovirens 100.000
R020997 atrovirens 100.000
R020998 atrovirens 100.000
R020999 atrovirens 100.000
R021000 atrovirens 100.000
R021001 atrovirens 100.000
R021002 atrovirens 100.000
R021003 atrovirens 100.000
R021004 carnatus 99.879
R021005 atrovirens 100.000
R021006 atrovirens 100.000
R021007 atrovirens 100.000
R021008 atrovirens 100.000
R021009 atrovirens 100.000
R021010 atrovirens 100.000
R021011 atrovirens 100.000
R021012 atrovirens 100.000
R021013 atrovirens 100.000
R021014 atrovirens 100.000
R021016 atrovirens 100.000
R021017 atrovirens 100.000
R021018 atrovirens 100.000
R021019 atrovirens 100.000
R021020 atrovirens 100.000
R021021 atrovirens 100.000
R021022 atrovirens 100.000
R021023 atrovirens 100.000
R021024 atrovirens 100.000
R021025 atrovirens 100.000
R021026 atrovirens 100.000
R021027 atrovirens 100.000
R021028 atrovirens 100.000
R021029 atrovirens 100.000
R021030 atrovirens 100.000
R021031 atrovirens 100.000
R021032 atrovirens 100.000
R021033 atrovirens 100.000
R021034 atrovirens 100.000
R021035 atrovirens 100.000
R021036 atrovirens 100.000
R021037 atrovirens 100.000
R021038 atrovirens 100.000
R021039 atrovirens 100.000
R021040 atrovirens 100.000
R021041 caurinus 100.000
R021042 atrovirens 100.000
R021043 atrovirens 100.000
R021044 atrovirens 100.000
R021045 atrovirens 100.000
R021046 chrysomelas 59.250
R021047 atrovirens 100.000
R021048 atrovirens 100.000
R021049 carnatus 99.742
R021050 atrovirens 100.000
R021051 atrovirens 100.000
R021052 atrovirens 100.000
R021053 atrovirens 100.000
R021054 atrovirens 100.000
R021055 atrovirens 100.000
R021056 atrovirens 100.000
R021057 atrovirens 100.000
R021058 atrovirens 100.000
R021059 carnatus 93.754
R021060 carnatus 99.864
R021061 atrovirens 100.000
R021062 atrovirens 100.000
R021063 atrovirens 100.000
R021064 atrovirens 100.000
R021065 atrovirens 100.000
R021066 atrovirens 100.000
R021067 atrovirens 100.000
R021068 atrovirens 100.000
R021069 atrovirens 100.000
R021070 atrovirens 100.000
R021071 atrovirens 100.000
R021072 atrovirens 100.000
R021073 atrovirens 100.000
R021074 atrovirens 100.000
R021075 atrovirens 100.000
R021076 atrovirens 100.000
R021077 atrovirens 100.000
R021078 atrovirens 100.000
R021079 atrovirens 100.000
R021080 atrovirens 100.000
R021081 atrovirens 100.000
R021082 atrovirens 100.000
R021083 atrovirens 100.000
R021084 atrovirens 100.000
R021085 atrovirens 100.000
R021086 atrovirens 100.000
R021087 atrovirens 100.000
R021088 atrovirens 100.000
R021089 atrovirens 100.000
R021090 atrovirens 100.000
R021091 atrovirens 100.000
R021092 atrovirens 100.000
R021093 atrovirens 100.000
R021094 atrovirens 100.000
R021095 atrovirens 100.000
R021096 atrovirens 100.000
R021097 atrovirens 100.000
R021098 atrovirens 100.000
R021099 atrovirens 100.000
R021100 atrovirens 100.000
R021101 atrovirens 100.000
R021102 atrovirens 100.000
R021103 atrovirens 100.000
R021104 atrovirens 100.000
R021105 atrovirens 100.000
R021106 atrovirens 100.000
R021107 atrovirens 100.000
R021108 atrovirens 100.000
R021109 atrovirens 100.000
R021110 atrovirens 100.000
R021112 atrovirens 100.000
R021113 atrovirens 100.000
R021114 atrovirens 100.000
R021115 atrovirens 100.000
R021116 atrovirens 100.000
R021117 atrovirens 100.000
R021118 atrovirens 100.000
R021119 atrovirens 100.000
R021120 atrovirens 100.000
R021121 atrovirens 100.000
R021122 atrovirens 100.000
R021123 atrovirens 100.000
R021124 atrovirens 100.000
R021125 atrovirens 100.000
R021126 atrovirens 100.000
R021127 atrovirens 100.000
R021128 atrovirens 100.000
R021129 atrovirens 100.000
R021130 atrovirens 100.000
R021131 atrovirens 100.000
R021132 atrovirens 100.000
R021133 atrovirens 100.000
R021134 atrovirens 100.000
R021135 atrovirens 100.000
R021136 atrovirens 100.000
R021137 atrovirens 100.000
R021138 atrovirens 100.000
R021139 atrovirens 100.000
R021140 atrovirens 100.000
R021141 atrovirens 100.000
R021142 atrovirens 100.000
R021143 atrovirens 100.000
R021144 atrovirens 100.000
R021145 atrovirens 100.000
R021146 atrovirens 100.000
R021147 atrovirens 100.000
R021148 atrovirens 100.000
R021149 atrovirens 100.000
R021150 atrovirens 100.000
R021151 atrovirens 100.000
R021152 atrovirens 100.000
R021153 atrovirens 100.000
R021155 atrovirens 100.000
R021156 atrovirens 100.000
R021157 atrovirens 100.000
R021158 atrovirens 100.000
R021159 atrovirens 100.000
R021160 atrovirens 100.000
R021161 atrovirens 100.000
R021162 atrovirens 100.000
R021163 atrovirens 100.000
R021164 atrovirens 100.000
R021165 atrovirens 100.000
R021166 atrovirens 100.000
R021167 atrovirens 100.000
R021168 atrovirens 100.000
R021169 atrovirens 100.000
R021170 atrovirens 100.000
R021171 atrovirens 100.000
R021172 atrovirens 100.000
R021173 atrovirens 100.000
R021174 atrovirens 100.000
R021175 atrovirens 100.000
R021176 atrovirens 100.000
R021177 atrovirens 100.000
R021178 atrovirens 100.000
R021179 atrovirens 100.000
R021180 atrovirens 100.000
R021181 atrovirens 100.000
R021182 atrovirens 100.000
R021183 atrovirens 100.000
R021184 atrovirens 100.000
R021185 atrovirens 100.000
R021186 atrovirens 100.000
R021187 atrovirens 100.000
R021188 atrovirens 100.000
R021189 atrovirens 100.000
R021190 atrovirens 100.000
R021191 atrovirens 100.000
R021192 atrovirens 100.000
R021193 atrovirens 100.000
R021194 atrovirens 100.000
R021195 atrovirens 100.000
R021196 atrovirens 100.000
R021197 carnatus 92.144
R021198 atrovirens 100.000
R021199 atrovirens 100.000
R021200 atrovirens 100.000
R021201 atrovirens 100.000
R021202 atrovirens 100.000
R021203 atrovirens 100.000
R021204 atrovirens 100.000
R021205 atrovirens 100.000
R021206 atrovirens 100.000
R021207 chrysomelas 97.778
R021208 atrovirens 100.000
R021209 atrovirens 100.000
R021210 atrovirens 100.000
R021211 atrovirens 100.000
R021212 atrovirens 100.000
R021213 atrovirens 100.000
R021214 atrovirens 100.000
R021215 atrovirens 100.000
R021216 atrovirens 100.000
R021217 atrovirens 100.000
R021218 atrovirens 100.000
R021219 atrovirens 100.000
R021220 atrovirens 100.000
R021221 atrovirens 100.000
R021222 atrovirens 100.000
R021223 atrovirens 100.000
R021224 atrovirens 100.000
R021225 atrovirens 100.000
R021226 atrovirens 100.000
R021227 chrysomelas 99.997
R021228 atrovirens 100.000
R021229 atrovirens 100.000
R021230 atrovirens 100.000
R021231 atrovirens 100.000
R021232 atrovirens 100.000
R021233 atrovirens 100.000
R021234 atrovirens 100.000
R021235 chrysomelas 100.000
R021236 atrovirens 100.000
R021237 atrovirens 100.000
R021238 atrovirens 100.000
R021239 atrovirens 100.000
R021240 atrovirens 100.000
R021241 atrovirens 100.000
R021242 atrovirens 100.000
R021243 atrovirens 100.000
R021244 atrovirens 100.000
R021245 atrovirens 100.000
R021246 atrovirens 100.000
R021247 chrysomelas 99.956
R021248 atrovirens 100.000
R021249 chrysomelas 100.000
R021250 atrovirens 100.000
R021251 carnatus 96.741
R021252 atrovirens 100.000
R021253 atrovirens 100.000
R021254 atrovirens 100.000
R021255 chrysomelas 99.982
R021256 atrovirens 100.000
R021257 chrysomelas 100.000
R021258 atrovirens 100.000
R021259 atrovirens 100.000
R021260 atrovirens 100.000
R021261 carnatus 99.025
R021262 atrovirens 100.000
R021263 atrovirens 100.000
R021264 atrovirens 100.000
R021265 atrovirens 100.000
R021266 chrysomelas 90.307
R021267 atrovirens 100.000
R021268 carnatus 84.759
R021269 atrovirens 100.000
R021270 atrovirens 100.000
R021271 atrovirens 100.000
R021272 atrovirens 100.000
R021273 atrovirens 100.000
R021274 carnatus 84.683
R021275 atrovirens 100.000
R021276 atrovirens 100.000
R021277 atrovirens 100.000
R021278 atrovirens 100.000
R021279 atrovirens 100.000
R021280 carnatus 55.302
R021281 atrovirens 100.000
R021282 atrovirens 100.000
R021283 atrovirens 100.000
R021284 atrovirens 100.000
R021285 atrovirens 100.000
R021286 atrovirens 100.000
R021287 atrovirens 100.000
R021288 atrovirens 100.000
R021289 atrovirens 100.000
R021290 atrovirens 100.000
R021291 atrovirens 100.000
R021292 atrovirens 100.000
R021293 atrovirens 100.000
R021294 atrovirens 100.000
R021295 atrovirens 100.000
R021296 atrovirens 100.000
R021297 atrovirens 100.000
R021298 atrovirens 100.000
R021299 atrovirens 100.000
R021300 atrovirens 100.000
R021301 atrovirens 100.000
R021302 atrovirens 100.000
R021303 atrovirens 100.000
R021304 atrovirens 100.000
R021305 atrovirens 100.000
R021306 atrovirens 100.000
R021307 atrovirens 100.000
R021308 atrovirens 100.000
R021309 atrovirens 100.000
R021310 atrovirens 100.000
R021311 atrovirens 100.000
R021312 atrovirens 100.000
R021313 atrovirens 100.000
R021314 atrovirens 100.000
R021315 atrovirens 100.000
R021316 atrovirens 100.000
R021317 atrovirens 100.000
R021318 atrovirens 100.000
R021319 atrovirens 100.000
R021320 atrovirens 100.000
R021321 atrovirens 100.000
R021322 atrovirens 100.000
R021323 atrovirens 100.000
R021324 atrovirens 100.000
R021325 atrovirens 100.000
R021326 atrovirens 100.000
R021327 atrovirens 100.000
R021328 atrovirens 100.000
R021329 atrovirens 100.000
R021330 atrovirens 100.000
R021331 atrovirens 100.000
R021332 atrovirens 100.000
R021333 atrovirens 100.000
R021334 atrovirens 100.000
R021335 atrovirens 100.000
R021336 atrovirens 100.000
R021337 atrovirens 100.000
R021338 atrovirens 100.000
R021339 atrovirens 100.000
R021340 atrovirens 100.000
R021341 atrovirens 100.000
R021342 atrovirens 100.000
R021343 atrovirens 100.000
R021344 atrovirens 100.000
R021345 caurinus 100.000
R021346 atrovirens 100.000
R021347 atrovirens 100.000
R021348 atrovirens 100.000
R021349 atrovirens 100.000
R021350 atrovirens 100.000
R021351 atrovirens 100.000
R021352 atrovirens 100.000
R021353 atrovirens 100.000
R021354 atrovirens 100.000
R021355 atrovirens 100.000
R021356 atrovirens 100.000
R021357 atrovirens 100.000
R021358 atrovirens 100.000
R021359 atrovirens 100.000
R021360 atrovirens 100.000
R021361 atrovirens 100.000
R021362 atrovirens 100.000
R021363 atrovirens 100.000
R021364 atrovirens 100.000
R021365 atrovirens 100.000
R021366 atrovirens 100.000
R021367 atrovirens 100.000
R021368 atrovirens 100.000
R021369 atrovirens 100.000
R021370 atrovirens 100.000
R021371 atrovirens 100.000
R021372 atrovirens 100.000
R021373 atrovirens 100.000
R021374 atrovirens 100.000
R021375 atrovirens 100.000
R021376 atrovirens 100.000
R021377 atrovirens 100.000
R021378 atrovirens 100.000
R021379 atrovirens 100.000
R021380 atrovirens 100.000
R021381 atrovirens 100.000
R021382 atrovirens 100.000
R021383 atrovirens 100.000
R021384 atrovirens 100.000
R021385 atrovirens 100.000
R021386 atrovirens 100.000
R021387 atrovirens 100.000
R021388 atrovirens 100.000
R021389 atrovirens 100.000
R021390 atrovirens 100.000
R021391 atrovirens 100.000
R021392 atrovirens 100.000
R021393 atrovirens 100.000
R021394 atrovirens 100.000
R021395 atrovirens 100.000
R021396 atrovirens 100.000
R021397 atrovirens 100.000
R021398 atrovirens 100.000
R021399 atrovirens 100.000
R021400 atrovirens 100.000
R021401 atrovirens 100.000
R021402 atrovirens 100.000
R021403 atrovirens 100.000
R021404 atrovirens 100.000
R021405 atrovirens 100.000
R021406 atrovirens 100.000
R021407 atrovirens 100.000
R021408 atrovirens 100.000
R021409 atrovirens 100.000
R021410 atrovirens 100.000
R021411 atrovirens 100.000
R021412 atrovirens 100.000
R021413 atrovirens 100.000
R021414 atrovirens 100.000
R021415 atrovirens 100.000
R021416 atrovirens 100.000
R021417 atrovirens 100.000
R021418 atrovirens 100.000
R021419 atrovirens 100.000
R021420 atrovirens 100.000
R021421 atrovirens 100.000
R021422 atrovirens 100.000
R021423 atrovirens 100.000
R021424 atrovirens 100.000
R021425 atrovirens 100.000
R021426 atrovirens 100.000
R021427 atrovirens 100.000
R021428 atrovirens 100.000
R021430 atrovirens 100.000
R021431 atrovirens 100.000
R021432 atrovirens 100.000
R021433 atrovirens 100.000
R021434 atrovirens 100.000
R021435 atrovirens 100.000
R021436 atrovirens 100.000
R021437 atrovirens 100.000
R021438 atrovirens 100.000
R021439 atrovirens 100.000
R021440 atrovirens 100.000
R021441 atrovirens 100.000
R021442 atrovirens 100.000
R021444 atrovirens 100.000
R021445 atrovirens 100.000
R021446 atrovirens 100.000
R021447 atrovirens 100.000
R021448 atrovirens 100.000
R021449 atrovirens 100.000
R021450 atrovirens 100.000
R021451 atrovirens 100.000
R021452 atrovirens 100.000
R021453 atrovirens 100.000
R021455 atrovirens 100.000
R021456 atrovirens 100.000
R021457 atrovirens 100.000
R021458 atrovirens 100.000
R021459 atrovirens 100.000
R021460 atrovirens 100.000
R021461 atrovirens 100.000
R021462 atrovirens 100.000
R021463 atrovirens 100.000
R021464 atrovirens 100.000
R021465 atrovirens 100.000
R021466 atrovirens 100.000
R021467 atrovirens 100.000
R021468 atrovirens 100.000
R021469 atrovirens 100.000
R021470 atrovirens 100.000
R021471 atrovirens 100.000
R021472 atrovirens 100.000
R021473 atrovirens 100.000
R021474 atrovirens 100.000
R021475 atrovirens 100.000
R021476 atrovirens 100.000
R021477 atrovirens 100.000
R021478 atrovirens 100.000
R021479 atrovirens 100.000
R021480 atrovirens 100.000
R021481 atrovirens 100.000
R021482 atrovirens 100.000
R021483 atrovirens 100.000
R021484 atrovirens 100.000
R021485 atrovirens 100.000
R021486 atrovirens 100.000
R021487 atrovirens 100.000
R021488 atrovirens 100.000
R021490 atrovirens 100.000
R021491 atrovirens 100.000
R021492 atrovirens 100.000
R021493 atrovirens 100.000
R021494 atrovirens 100.000
R021495 atrovirens 100.000
R021496 atrovirens 100.000
R021497 atrovirens 100.000
R021498 atrovirens 100.000
R021499 atrovirens 100.000
R021500 atrovirens 100.000
R021501 atrovirens 100.000
R021502 atrovirens 100.000
R021503 atrovirens 100.000
R021504 atrovirens 100.000
R021505 atrovirens 100.000
R021506 atrovirens 100.000
R021507 atrovirens 100.000
R021508 atrovirens 100.000
R021509 atrovirens 100.000
R021510 atrovirens 100.000
R021511 atrovirens 100.000
R021512 atrovirens 100.000
R021514 atrovirens 100.000
R021515 atrovirens 100.000
R021516 atrovirens 100.000
R021517 atrovirens 100.000
R021518 atrovirens 100.000
R021519 atrovirens 100.000
R021520 atrovirens 100.000
R021521 atrovirens 100.000
R021523 atrovirens 100.000
R021524 atrovirens 100.000
R021525 atrovirens 100.000
R021526 atrovirens 100.000
R021527 atrovirens 100.000
R021528 atrovirens 100.000
R021529 atrovirens 100.000
R021530 atrovirens 100.000
R021531 atrovirens 100.000
R021532 atrovirens 100.000
R021533 atrovirens 100.000
R021534 atrovirens 100.000
R021535 atrovirens 100.000
R021536 atrovirens 100.000
R021537 atrovirens 100.000
R021538 atrovirens 100.000
R021539 atrovirens 100.000
R021540 atrovirens 100.000
R021541 atrovirens 100.000
R021542 atrovirens 100.000
R021543 atrovirens 100.000
R021544 atrovirens 100.000
R021545 atrovirens 100.000
R021546 atrovirens 100.000
R021547 atrovirens 100.000
